Depth,Density,Concentration,Concentration Uncertainty,Isotope mass,Lat. (Degrees),Lon. (degrees),Elv. (m),Shielding,Landscape age (a)
10,1.359165868,,,,53.120397,-1.0776693,98.692,0.9999999,4.54E+09
15,1.403458186,,,,,,,,
20,1.405634667,,,,,,,,
25,1.693358013,,,,,,,,
30,1.714787979,,,,,,,,
35,1.376056849,,,,,,,,
40,1.073712016,,,,,,,,
45,1.440328146,,,,,,,,
50,1.342200478,,,,,,,,
55,1.335522216,,,,,,,,
60,1.332006362,,,,,,,,
65,1.342107466,,,,,,,,
70,1.394510431,,,,,,,,
75,1.401895585,,,,,,,,
80,1.359463507,,,,,,,,
85,1.444402072,,,,,,,,
90,1.370215695,,,,,,,,
95,1.537767526,,,,,,,,
105,0.942806916,,,,,,,,
110,1.02378317,,,,,,,,
115,1.15848316,,,,,,,,
120,1.109205398,,,,,,,,
125,1.381600365,,,,,,,,
130,1.262526392,,,,,,,,
135,1.357175411,,,,,,,,
140,1.374643066,,,,,,,,
145,1.378065908,,,,,,,,
150,1.421986178,,,,,,,,
165,2.618920503,,,,,,,,
175,2.682112861,,,,,,,,
185,2.671118841,,,,,,,,
195,2.464334546,,,,,,,,
205,2.543283138,,,,,,,,
210,1.968989797,,,,,,,,
220,2.740859245,,,,,,,,
230,2.777915229,,,,,,,,
240,2.851766763,,,,,,,,
250,2.844995489,,,,,,,,
260,3.085189698,,,,,,,,
270,3.2137881,,,,,,,,
280,3.262824031,,,,,,,,
290,3.532540251,,,,,,,,
155,,35266,2364,10,,,,,
205,,22683,1586,10,,,,,
